Nap  ,Località                                ,Inizio validità,Fine validità,Fascia 1,Fascia 1A
28866,PREMIA                                  ,1/1/2024,12/31/9999,x       ,x        
28803,PREMOSELLO-CHIOVENDA                    ,1/1/2024,12/31/9999,x       ,x        
11010,PRÉ-SAINT-DIDIER                        ,1/1/2024,12/31/9999,x       ,         
22030,PROSERPIO                               ,1/1/2024,12/31/9999,x       ,x        
22030,PUSIANO                                 ,1/1/2024,12/31/9999,x       ,x        
11020,QUART                                   ,1/1/2024,12/31/9999,x       ,         
38020,RABBI                                   ,1/1/2024,12/31/9999,x       ,         
21030,RANCIO VALCUVIA                         ,1/1/2024,12/31/9999,x       ,x        
13020,RASSA                                   ,1/1/2024,12/31/9999,x       ,         
28856,RE                                      ,1/1/2024,12/31/9999,x       ,x        
22030,REZZAGO                                 ,1/1/2024,12/31/9999,x       ,x        
13020,RIMELLA                                 ,1/1/2024,12/31/9999,x       ,         
22070,RODERO                                  ,1/1/2024,12/31/9999,x       ,x        
23849,ROGENO                                  ,1/1/2024,12/31/9999,x       ,x        
23010,ROGOLO                                  ,1/1/2024,12/31/9999,x       ,         
11010,ROISAN                                  ,1/1/2024,12/31/9999,x       ,         
22027,RONAGO                                  ,1/1/2024,12/31/9999,x       ,x        
13020,ROSSA                                   ,1/1/2024,12/31/9999,x       ,         
22069,ROVELLASCA                              ,1/1/2024,12/31/9999,x       ,x        
22070,ROVELLO PORRO                           ,1/1/2024,12/31/9999,x       ,x        
11020,SAINT-CHRISTOPHE                        ,1/1/2024,12/31/9999,x       ,         
11023,SAINT-DENIS                             ,1/1/2024,12/31/9999,x       ,         
11020,SAINT-MARCEL                            ,1/1/2024,12/31/9999,x       ,         
11010,SAINT-NICOLAS                           ,1/1/2024,12/31/9999,x       ,         
11014,SAINT-OYEN                              ,1/1/2024,12/31/9999,x       ,         
11010,SAINT-PIERRE                            ,1/1/2024,12/31/9999,x       ,         
11010,SAINT-RHÉMY-EN-BOSSES                   ,1/1/2024,12/31/9999,x       ,         
11027,SAINT-VINCENT                           ,1/1/2024,12/31/9999,x       ,         
22010,SALA COMACINA                           ,1/1/2024,12/31/9999,x       ,x        
21050,SALTRIO                                 ,1/1/2024,12/31/9999,x       ,x        
23027,SAMOLACO                                ,1/1/2024,12/31/9999,x       ,         
22010,SAN BARTOLOMEO VAL CAVARGNA             ,1/1/2024,12/31/9999,x       ,x        
28804,SAN BERNARDINO VERBANO                  ,1/1/2024,12/31/9999,x       ,x        
22042,SAN FERMO DELLA BATTAGLIA               ,1/1/2024,12/31/9999,x       ,x        
23020,SAN GIACOMO FILIPPO                     ,1/1/2024,12/31/9999,x       ,         
22010,SAN NAZZARO VAL CAVARGNA                ,1/1/2024,12/31/9999,x       ,x        
22010,SAN SIRO                                ,1/1/2024,12/31/9999,x       ,x        
21038,SANGIANO                                ,1/1/2024,12/31/9999,x       ,x        
28857,SANTA MARIA MAGGIORE                    ,1/1/2024,12/31/9999,x       ,x        
21047,SARONNO                                 ,1/1/2024,12/31/9999,x       ,         
11010,SARRE                                   ,1/1/2024,12/31/9999,x       ,         
22020,SCHIGNANO                               ,1/1/2024,12/31/9999,x       ,x        
24020,SCHILPARIO                              ,1/1/2024,12/31/9999,x       ,         
22070,SENNA COMASCO                           ,1/1/2024,12/31/9999,x       ,x        
23030,SERNIO                                  ,1/1/2024,12/31/9999,x       ,         
39028,SILANDRO                                ,1/1/2024,12/31/9999,x       ,         
39020,SLUDERNO                                ,1/1/2024,12/31/9999,x       ,         
21048,SOLBIATE ARNO                           ,1/1/2024,12/31/9999,x       ,x        
22043,SOLBIATE CON CAGNO                      ,1/1/2024,12/31/9999,x       ,x        
21058,SOLBIATE OLONA                          ,1/1/2024,12/31/9999,x       ,x        
23035,SONDALO                                 ,1/1/2024,12/31/9999,x       ,         
23100,SONDRIO                                 ,1/1/2024,12/31/9999,x       ,         
25048,SONICO                                  ,1/1/2024,12/31/9999,x       ,         
22010,SORICO                                  ,1/1/2024,12/31/9999,x       ,x        
22030,SORMANO                                 ,1/1/2024,12/31/9999,x       ,x        
23020,SPRIANA                                 ,1/1/2024,12/31/9999,x       ,         
22010,STAZZONA                                ,1/1/2024,12/31/9999,x       ,x        
39029,STELVIO                                 ,1/1/2024,12/31/9999,x       ,         
28838,STRESA                                  ,1/1/2024,12/31/9999,x       ,         
23835,SUEGLIO                                 ,1/1/2024,12/31/9999,x       ,x        
23867,SUELLO                                  ,1/1/2024,12/31/9999,x       ,x        
21040,SUMIRAGO                                ,1/1/2024,12/31/9999,x       ,x        
23018,TALAMONA                                ,1/1/2024,12/31/9999,x       ,         
23010,TARTANO                                 ,1/1/2024,12/31/9999,x       ,         
22038,TAVERNERIO                              ,1/1/2024,12/31/9999,x       ,x        
23036,TEGLIO                                  ,1/1/2024,12/31/9999,x       ,         
21020,TERNATE                                 ,1/1/2024,12/31/9999,x       ,x        
23037,TIRANO                                  ,1/1/2024,12/31/9999,x       ,         
28858,TOCENO                                  ,1/1/2024,12/31/9999,x       ,x        
11020,TORGNON                                 ,1/1/2024,12/31/9999,x       ,         
22020,TORNO                                   ,1/1/2024,12/31/9999,x       ,x        
23020,TORRE DI SANTA MARIA                    ,1/1/2024,12/31/9999,x       ,         
23030,TOVO DI SANT'AGATA                      ,1/1/2024,12/31/9999,x       ,         
21049,TRADATE                                 ,1/1/2024,12/31/9999,x       ,x        
23019,TRAONA                                  ,1/1/2024,12/31/9999,x       ,         
28826,TRAREGO VIGGIONA                        ,1/1/2024,12/31/9999,x       ,x        
28868,TRASQUERA                               ,1/1/2024,12/31/9999,x       ,x        
21028,TRAVEDONA-MONATE                        ,1/1/2024,12/31/9999,x       ,x        
22016,TREMEZZINA                              ,1/1/2024,12/31/9999,x       ,x        
23020,TRESIVIO                                ,1/1/2024,12/31/9999,x       ,         
22010,TREZZONE                                ,1/1/2024,12/31/9999,x       ,x        
28859,TRONTANO                                ,1/1/2024,12/31/9999,x       ,x        
21010,TRONZANO LAGO MAGGIORE                  ,1/1/2024,12/31/9999,x       ,x        
39020,TUBRE                                   ,1/1/2024,12/31/9999,x       ,         
22078,TURATE                                  ,1/1/2024,12/31/9999,x       ,x        
22029,UGGIATE-TREVANO                         ,1/1/2024,12/31/9999,x       ,x        
23010,VAL MASINO                              ,1/1/2024,12/31/9999,x       ,         
22010,VAL REZZO                               ,1/1/2024,12/31/9999,x       ,x        
24020,VALBONDIONE                             ,1/1/2024,12/31/9999,x       ,         
22039,VALBRONA                                ,1/1/2024,12/31/9999,x       ,x        
23038,VALDIDENTRO                             ,1/1/2024,12/31/9999,x       ,         
23030,VALDISOTTO                              ,1/1/2024,12/31/9999,x       ,         
23030,VALFURVA                                ,1/1/2024,12/31/9999,x       ,         
21039,VALGANNA                                ,1/1/2024,12/31/9999,x       ,x        
28827,VALLE CANNOBINA                         ,1/1/2024,12/31/9999,x       ,x        
23868,VALMADRERA                              ,1/1/2024,12/31/9999,x       ,x        
22070,VALMOREA                                ,1/1/2024,12/31/9999,x       ,x        
11010,VALPELLINE                              ,1/1/2024,12/31/9999,x       ,         
22010,VALSOLDA                                ,1/1/2024,12/31/9999,x       ,x        
28897,VALSTRONA                               ,1/1/2024,12/31/9999,x       ,x        
11028,VALTOURNENCHE                           ,1/1/2024,12/31/9999,x       ,         
23836,VALVARRONE                              ,1/1/2024,12/31/9999,x       ,x        
28879,VANZONE CON SAN CARLO                   ,1/1/2024,12/31/9999,x       ,x        
21020,VARANO BORGHI                           ,1/1/2024,12/31/9999,x       ,x        
23829,VARENNA                                 ,1/1/2024,12/31/9999,x       ,x        
21100,VARESE                                  ,1/1/2024,12/31/9999,x       ,x        
28868,VARZO                                   ,1/1/2024,12/31/9999,x       ,x        
21040,VEDANO OLONA                            ,1/1/2024,12/31/9999,x       ,x        
20837,VEDUGGIO CON COLZANO                    ,1/1/2024,12/31/9999,x       ,         
22020,VELESO                                  ,1/1/2024,12/31/9999,x       ,x        
21040,VENEGONO INFERIORE                      ,1/1/2024,12/31/9999,x       ,x        
21040,VENEGONO SUPERIORE                      ,1/1/2024,12/31/9999,x       ,x        
22070,VENIANO                                 ,1/1/2024,12/31/9999,x       ,x        
28921,VERBANIA                                ,1/1/2024,12/31/9999,x       ,x        
22013,VERCANA                                 ,1/1/2024,12/31/9999,x       ,x        
23020,VERCEIA                                 ,1/1/2024,12/31/9999,x       ,         
21029,VERGIATE                                ,1/1/2024,12/31/9999,x       ,         
11020,VERRAYES                                ,1/1/2024,12/31/9999,x       ,         
22070,VERTEMATE CON MINOPRIO                  ,1/1/2024,12/31/9999,x       ,x        
23030,VERVIO                                  ,1/1/2024,12/31/9999,x       ,         
25059,VEZZA D'OGLIO                           ,1/1/2024,12/31/9999,x       ,         
21059,VIGGIÙ                                  ,1/1/2024,12/31/9999,x       ,x        
28819,VIGNONE                                 ,1/1/2024,12/31/9999,x       ,x        
23029,VILLA DI CHIAVENNA                      ,1/1/2024,12/31/9999,x       ,         
23030,VILLA DI TIRANO                         ,1/1/2024,12/31/9999,x       ,         
22079,VILLA GUARDIA                           ,1/1/2024,12/31/9999,x       ,x        
28844,VILLADOSSOLA                            ,1/1/2024,12/31/9999,x       ,x        
11018,VILLENEUVE                              ,1/1/2024,12/31/9999,x       ,         
28856,VILLETTE                                ,1/1/2024,12/31/9999,x       ,x        
24020,VILMINORE DI SCALVE                     ,1/1/2024,12/31/9999,x       ,         
25050,VIONE                                   ,1/1/2024,12/31/9999,x       ,         
28805,VOGOGNA                                 ,1/1/2024,12/31/9999,x       ,x        
22020,ZELBIO                                  ,1/1/2024,12/31/9999,x       ,x        
,,,,,
,,,,,
Comuni nella fascia 1 (vedi su sito www.ti.ch/fonte File pdf 2024 - Comuni italiani di frontiera - Elenco 1 nuovi frontalieri fiscali),,,,,
Comuni nella fascia 1A (vedi su sito www.ti.ch/fonte File pdf 2024 - Comuni italiani di frontiera - Elenco 1A vecchi frontalieri fiscali),,,,,
